File_name;Red_mass;CM_energy;Rel_speed;Tot_sigma
dcsH1He0el_1000log10e_-0630.dat;7.4962491838E+8;2.3442288153E-1;7.4974519909E+5;3.6678180919E+2
dcsH1He0el_1000log10e_-0640.dat;7.4962491838E+8;2.2908676528E-1;7.4116293676E+5;3.5484253395E+2
dcsH1He0el_1000log10e_-0650.dat;7.4962491838E+8;2.2387211386E-1;7.3267891478E+5;3.5926822784E+2
dcsH1He0el_1000log10e_-0660.dat;7.4962491838E+8;2.1877616239E-1;7.2429200859E+5;3.6460282473E+2
dcsH1He0el_1000log10e_-0670.dat;7.4962491838E+8;2.1379620895E-1;7.1600110653E+5;3.7247131672E+2
dcsH1He0el_1000log10e_-0680.dat;7.4962491838E+8;2.0892961309E-1;7.0780510964E+5;3.8408361987E+2
dcsH1He0el_1000log10e_-0690.dat;7.4962491838E+8;2.0417379447E-1;6.9970293155E+5;3.9998074598E+2
dcsH1He0el_1000log10e_-0700.dat;7.4962491838E+8;1.9952623150E-1;6.9169349832E+5;4.1907452553E+2
dcsH1He0el_1000log10e_-0710.dat;7.4962491838E+8;1.9498445998E-1;6.8377574832E+5;4.2151763016E+2
dcsH1He0el_1000log10e_-0720.dat;7.4962491838E+8;1.9054607180E-1;6.7594863205E+5;4.3168664379E+2
dcsH1He0el_1000log10e_-0730.dat;7.4962491838E+8;1.8620871367E-1;6.6821111205E+5;4.3844904694E+2
dcsH1He0el_1000log10e_-0740.dat;7.4962491838E+8;1.8197008586E-1;6.6056216270E+5;4.4163090741E+2
dcsH1He0el_1000log10e_-0750.dat;7.4962491838E+8;1.7782794100E-1;6.5300077015E+5;4.4152400828E+2
dcsH1He0el_1000log10e_-0760.dat;7.4962491838E+8;1.7378008287E-1;6.4552593214E+5;4.3958225837E+2
dcsH1He0el_1000log10e_-0770.dat;7.4962491838E+8;1.6982436525E-1;6.3813665790E+5;4.3978311897E+2
dcsH1He0el_1000log10e_-0780.dat;7.4962491838E+8;1.6595869074E-1;6.3083196798E+5;4.6711479254E+2
dcsH1He0el_1000log10e_-0790.dat;7.4962491838E+8;1.6218100974E-1;6.2361089416E+5;4.7841142456E+2
dcsH1He0el_1000log10e_-0800.dat;7.4962491838E+8;1.5848931925E-1;6.1647247928E+5;4.8919358480E+2
dcsH1He0el_1000log10e_-0810.dat;7.4962491838E+8;1.5488166189E-1;6.0941577716E+5;4.9921455887E+2
